[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
574,100,10,1,1,47,100,40,103
576,100,10,1,1,51,100,40,101
579,100,10,1,1,57,100,40,96
583,100,10,1,1,65,100,40,76
577,100,10,1,1,53,100,40,94
582,100,10,1,1,63,100,40,98
578,100,10,1,1,55,100,40,101
584,100,10,1,1,67,100,40,79
581,100,10,1,1,61,100,40,102
580,100,10,1,1,59,100,40,137
586,100,10,1,1,71,100,40,79
587,100,10,1,1,73,100,40,77
589,100,10,1,1,77,100,40,76
590,100,10,1,1,79,100,40,98
585,100,10,1,1,69,100,40,93
591,100,10,1,1,81,100,40,89
588,100,10,1,1,75,100,40,108
596,100,10,1,1,91,100,40,77
592,100,10,1,1,83,100,40,96
594,100,10,1,1,87,100,40,87
593,100,10,1,1,85,100,40,93
598,100,10,1,1,95,100,40,87
597,100,10,1,1,93,100,40,87
595,100,10,1,1,89,100,40,98
599,100,10,1,1,97,100,40,91
600,100,10,1,1,99,100,40,104
608,100,10,1,1,15,100,60,83
609,100,10,1,1,17,100,60,92
604,100,10,1,1,7,100,60,151
605,100,10,1,1,9,100,60,120
610,100,10,1,1,19,100,60,81
613,100,10,1,1,25,100,60,70
606,100,10,1,1,11,100,60,141
603,100,10,1,1,5,100,60,170
607,100,10,1,1,13,100,60,123
612,100,10,1,1,23,100,60,80
611,100,10,1,1,21,100,60,94
551,100,10,1,1,1,100,40,648
614,100,10,1,1,27,100,60,122
615,100,10,1,1,29,100,60,96
616,100,10,1,1,31,100,60,84
618,100,10,1,1,35,100,60,71
617,100,10,1,1,33,100,60,79
620,100,10,1,1,39,100,60,75
623,100,10,1,1,45,100,60,78
619,100,10,1,1,37,100,60,92
621,100,10,1,1,41,100,60,89
625,100,10,1,1,49,100,60,65
602,100,10,1,1,3,100,60,315
624,100,10,1,1,47,100,60,82
626,100,10,1,1,51,100,60,79
622,100,10,1,1,43,100,60,77
627,100,10,1,1,53,100,60,74
629,100,10,1,1,57,100,60,65
628,100,10,1,1,55,100,60,84
633,100,10,1,1,65,100,60,55
631,100,10,1,1,61,100,60,57
630,100,10,1,1,59,100,60,80
634,100,10,1,1,67,100,60,74
632,100,10,1,1,63,100,60,69
637,100,10,1,1,73,100,60,63
636,100,10,1,1,71,100,60,80
638,100,10,1,1,75,100,60,64
635,100,10,1,1,69,100,60,87
639,100,10,1,1,77,100,60,59
640,100,10,1,1,79,100,60,81
642,100,10,1,1,83,100,60,67
641,100,10,1,1,81,100,60,82
644,100,10,1,1,87,100,60,65
645,100,10,1,1,89,100,60,59
643,100,10,1,1,85,100,60,72
647,100,10,1,1,93,100,60,65
646,100,10,1,1,91,100,60,67
649,100,10,1,1,97,100,60,72
648,100,10,1,1,95,100,60,79
650,100,10,1,1,99,100,60,72
657,100,10,1,1,13,100,80,74
655,100,10,1,1,9,100,80,141
658,100,10,1,1,15,100,80,88
661,100,10,1,1,21,100,80,60
659,100,10,1,1,17,100,80,85
656,100,10,1,1,11,100,80,112
653,100,10,1,1,5,100,80,171
654,100,10,1,1,7,100,80,142
660,100,10,1,1,19,100,80,85
664,100,10,1,1,27,100,80,60
662,100,10,1,1,23,100,80,67
663,100,10,1,1,25,100,80,71
601,100,10,1,1,1,100,60,549
665,100,10,1,1,29,100,80,60
666,100,10,1,1,31,100,80,65
668,100,10,1,1,35,100,80,67
667,100,10,1,1,33,100,80,66
669,100,10,1,1,37,100,80,70
672,100,10,1,1,43,100,80,59
670,100,10,1,1,39,100,80,86
671,100,10,1,1,41,100,80,66
673,100,10,1,1,45,100,80,65
674,100,10,1,1,47,100,80,84
675,100,10,1,1,49,100,80,59
677,100,10,1,1,53,100,80,55
652,100,10,1,1,3,100,80,294
676,100,10,1,1,51,100,80,68
678,100,10,1,1,55,100,80,64
680,100,10,1,1,59,100,80,52
682,100,10,1,1,63,100,80,49
681,100,10,1,1,61,100,80,62
679,100,10,1,1,57,100,80,110
684,100,10,1,1,67,100,80,54
683,100,10,1,1,65,100,80,60
685,100,10,1,1,69,100,80,66
687,100,10,1,1,73,100,80,56
690,100,10,1,1,79,100,80,45
688,100,10,1,1,75,100,80,59
686,100,10,1,1,71,100,80,70
689,100,10,1,1,77,100,80,61
691,100,10,1,1,81,100,80,54
692,100,10,1,1,83,100,80,54
693,100,10,1,1,85,100,80,56
695,100,10,1,1,89,100,80,48
696,100,10,1,1,91,100,80,50
697,100,10,1,1,93,100,80,47
694,100,10,1,1,87,100,80,61
699,100,10,1,1,97,100,80,52
698,100,10,1,1,95,100,80,53
700,100,10,1,1,99,100,80,52
705,100,10,1,1,9,100,100,135
709,100,10,1,1,17,100,100,80
706,100,10,1,1,11,100,100,117
708,100,10,1,1,15,100,100,72
651,100,10,1,1,1,100,80,498
710,100,10,1,1,19,100,100,61
704,100,10,1,1,7,100,100,121
707,100,10,1,1,13,100,100,127
703,100,10,1,1,5,100,100,139
712,100,10,1,1,23,100,100,60
711,100,10,1,1,21,100,100,88
713,100,10,1,1,25,100,100,72
714,100,10,1,1,27,100,100,82
715,100,10,1,1,29,100,100,72
716,100,10,1,1,31,100,100,54
720,100,10,1,1,39,100,100,45
718,100,10,1,1,35,100,100,48
717,100,10,1,1,33,100,100,57
702,100,10,1,1,3,100,100,223
721,100,10,1,1,41,100,100,50
725,100,10,1,1,49,100,100,48
723,100,10,1,1,45,100,100,48
719,100,10,1,1,37,100,100,63
722,100,10,1,1,43,100,100,56
724,100,10,1,1,47,100,100,54
727,100,10,1,1,53,100,100,53
726,100,10,1,1,51,100,100,52
730,100,10,1,1,59,100,100,51
728,100,10,1,1,55,100,100,60
729,100,10,1,1,57,100,100,49
732,100,10,1,1,63,100,100,56
733,100,10,1,1,65,100,100,58
737,100,10,1,1,73,100,100,44
