[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
617,100,10,1,1,33,5,50,114
616,100,10,1,1,31,5,50,145
621,100,10,1,1,41,5,50,96
620,100,10,1,1,39,5,50,130
619,100,10,1,1,37,5,50,132
618,100,10,1,1,35,5,50,151
622,100,10,1,1,43,5,50,105
623,100,10,1,1,45,5,50,117
624,100,10,1,1,47,5,50,116
625,100,10,1,1,49,5,50,114
626,100,10,1,1,51,5,50,119
627,100,10,1,1,53,5,50,123
628,100,10,1,1,55,5,50,115
630,100,10,1,1,59,5,50,113
629,100,10,1,1,57,5,50,134
631,100,10,1,1,61,5,50,121
632,100,10,1,1,63,5,50,125
633,100,10,1,1,65,5,50,124
635,100,10,1,1,69,5,50,121
636,100,10,1,1,71,5,50,124
634,100,10,1,1,67,5,50,128
637,100,10,1,1,73,5,50,131
639,100,10,1,1,77,5,50,100
638,100,10,1,1,75,5,50,128
601,100,10,1,1,1,5,50,655
641,100,10,1,1,81,5,50,98
640,100,10,1,1,79,5,50,113
643,100,10,1,1,85,5,50,105
642,100,10,1,1,83,5,50,105
645,100,10,1,1,89,5,50,107
644,100,10,1,1,87,5,50,125
656,100,10,1,1,11,10,50,108
657,100,10,1,1,13,10,50,123
646,100,10,1,1,91,5,50,109
655,100,10,1,1,9,10,50,142
658,100,10,1,1,15,10,50,112
654,100,10,1,1,7,10,50,138
659,100,10,1,1,17,10,50,106
653,100,10,1,1,5,10,50,172
649,100,10,1,1,97,5,50,104
647,100,10,1,1,93,5,50,116
648,100,10,1,1,95,5,50,115
652,100,10,1,1,3,10,50,222
660,100,10,1,1,19,10,50,98
650,100,10,1,1,99,5,50,130
661,100,10,1,1,21,10,50,113
663,100,10,1,1,25,10,50,97
662,100,10,1,1,23,10,50,130
665,100,10,1,1,29,10,50,109
667,100,10,1,1,33,10,50,91
668,100,10,1,1,35,10,50,101
664,100,10,1,1,27,10,50,122
671,100,10,1,1,41,10,50,92
666,100,10,1,1,31,10,50,99
670,100,10,1,1,39,10,50,90
669,100,10,1,1,37,10,50,103
672,100,10,1,1,43,10,50,95
673,100,10,1,1,45,10,50,98
674,100,10,1,1,47,10,50,102
675,100,10,1,1,49,10,50,100
677,100,10,1,1,53,10,50,91
676,100,10,1,1,51,10,50,120
679,100,10,1,1,57,10,50,96
682,100,10,1,1,63,10,50,85
681,100,10,1,1,61,10,50,99
686,100,10,1,1,71,10,50,70
683,100,10,1,1,65,10,50,89
680,100,10,1,1,59,10,50,99
678,100,10,1,1,55,10,50,100
685,100,10,1,1,69,10,50,94
684,100,10,1,1,67,10,50,99
687,100,10,1,1,73,10,50,111
688,100,10,1,1,75,10,50,107
690,100,10,1,1,79,10,50,98
689,100,10,1,1,77,10,50,103
696,100,10,1,1,91,10,50,74
692,100,10,1,1,83,10,50,90
693,100,10,1,1,85,10,50,91
691,100,10,1,1,81,10,50,105
651,100,10,1,1,1,10,50,577
694,100,10,1,1,87,10,50,89
695,100,10,1,1,89,10,50,92
698,100,10,1,1,95,10,50,80
699,100,10,1,1,97,10,50,78
697,100,10,1,1,93,10,50,89
700,100,10,1,1,99,10,50,115
710,100,10,1,1,19,20,50,91
708,100,10,1,1,15,20,50,108
713,100,10,1,1,25,20,50,98
711,100,10,1,1,21,20,50,114
712,100,10,1,1,23,20,50,96
705,100,10,1,1,9,20,50,135
706,100,10,1,1,11,20,50,137
707,100,10,1,1,13,20,50,126
709,100,10,1,1,17,20,50,103
702,100,10,1,1,3,20,50,202
715,100,10,1,1,29,20,50,79
704,100,10,1,1,7,20,50,177
714,100,10,1,1,27,20,50,92
703,100,10,1,1,5,20,50,259
716,100,10,1,1,31,20,50,84
718,100,10,1,1,35,20,50,92
719,100,10,1,1,37,20,50,75
721,100,10,1,1,41,20,50,80
723,100,10,1,1,45,20,50,87
717,100,10,1,1,33,20,50,103
724,100,10,1,1,47,20,50,82
726,100,10,1,1,51,20,50,81
720,100,10,1,1,39,20,50,94
727,100,10,1,1,53,20,50,81
725,100,10,1,1,49,20,50,84
729,100,10,1,1,57,20,50,70
722,100,10,1,1,43,20,50,98
728,100,10,1,1,55,20,50,81
730,100,10,1,1,59,20,50,97
731,100,10,1,1,61,20,50,74
734,100,10,1,1,67,20,50,81
733,100,10,1,1,65,20,50,86
732,100,10,1,1,63,20,50,93
738,100,10,1,1,75,20,50,70
739,100,10,1,1,77,20,50,70
740,100,10,1,1,79,20,50,76
735,100,10,1,1,69,20,50,85
737,100,10,1,1,73,20,50,89
736,100,10,1,1,71,20,50,84
743,100,10,1,1,85,20,50,74
741,100,10,1,1,81,20,50,91
744,100,10,1,1,87,20,50,74
742,100,10,1,1,83,20,50,88
745,100,10,1,1,89,20,50,83
746,100,10,1,1,91,20,50,81
748,100,10,1,1,95,20,50,76
747,100,10,1,1,93,20,50,82
701,100,10,1,1,1,20,50,589
749,100,10,1,1,97,20,50,70
750,100,10,1,1,99,20,50,69
759,100,10,1,1,17,50,50,117
756,100,10,1,1,11,50,50,150
757,100,10,1,1,13,50,50,175
760,100,10,1,1,19,50,50,94
755,100,10,1,1,9,50,50,177
753,100,10,1,1,5,50,50,183
761,100,10,1,1,21,50,50,100
