,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
282,100.0,10.0,1.3000000000000003,1.0,81.0,100.0,50.0,96.71
283,100.0,10.0,1.0,1.0,81.0,100.0,50.0,80.64
284,100.0,10.0,0.6,1.0,81.0,100.0,50.0,57.31
285,100.0,10.0,1.5999999999999996,1.0,81.0,100.0,50.0,110.71
286,100.0,10.0,2.0,1.0,81.0,100.0,50.0,130.98
287,100.0,10.0,0.3,1.0,83.0,100.0,50.0,39.8
288,100.0,10.0,0.0,1.0,83.0,100.0,50.0,18.84
289,100.0,10.0,1.3000000000000003,1.0,83.0,100.0,50.0,94.97
290,100.0,10.0,1.0,1.0,83.0,100.0,50.0,78.9
291,100.0,10.0,0.6,1.0,83.0,100.0,50.0,57.68
292,100.0,10.0,1.5999999999999996,1.0,83.0,100.0,50.0,112.11
293,100.0,10.0,2.0,1.0,83.0,100.0,50.0,128.26
294,100.0,10.0,0.3,1.0,85.0,100.0,50.0,39.88
295,100.0,10.0,0.0,1.0,85.0,100.0,50.0,18.17
296,100.0,10.0,1.3000000000000003,1.0,85.0,100.0,50.0,95.73
297,100.0,10.0,1.0,1.0,85.0,100.0,50.0,79.58
298,100.0,10.0,0.6,1.0,85.0,100.0,50.0,57.07
299,100.0,10.0,1.5999999999999996,1.0,85.0,100.0,50.0,112.83
300,100.0,10.0,2.0,1.0,85.0,100.0,50.0,130.0
301,100.0,10.0,0.3,1.0,87.0,100.0,50.0,38.95
302,100.0,10.0,0.0,1.0,87.0,100.0,50.0,17.96
303,100.0,10.0,1.3000000000000003,1.0,87.0,100.0,50.0,94.67
304,100.0,10.0,1.0,1.0,87.0,100.0,50.0,78.29
305,100.0,10.0,0.6,1.0,87.0,100.0,50.0,56.0
306,100.0,10.0,1.5999999999999996,1.0,87.0,100.0,50.0,112.1
307,100.0,10.0,2.0,1.0,87.0,100.0,50.0,131.05
308,100.0,10.0,0.3,1.0,89.0,100.0,50.0,38.36
309,100.0,10.0,0.0,1.0,89.0,100.0,50.0,18.31
310,100.0,10.0,1.3000000000000003,1.0,89.0,100.0,50.0,95.49
